name-original-cap,name,alternative-fr,alternative-nl,alternative-de,alternative-en,alternative-wp,country-code,longitude,latitude,avg_stop_times,official_transfer_time
Brussel-West/Bruxelles-Ouest,brussel-west/bruxelles-ouest,bruxelles-ouest,brussel-west,,brussels-west,,be,4.321042,50.848552,31.821229,300
Brussel-Zuid/Bruxelles-Midi,brussel-zuid/bruxelles-midi,bruxelles-midi,brussel-zuid,,brussels-south/brussels-midi,gare du midi (bruxelles),be,4.336531,50.835707,1008.039106,300
Brussels Airport - Zaventem,brussels airport - zaventem,,,,,,be,4.482076,50.896456,325.857542,3540
Buda,buda,,,,,,be,4.417074,50.907495,206.575419,300
Buggenhout,buggenhout,,,,,,be,4.201666,51.016291,63.223464,300
Buizingen,buizingen,,,,,,be,4.258558,50.751577,223.416201,300
Burst,burst,,,,,,be,3.922416,50.907198,79.039106,300
Béziers,beziers,,,,,,fr,3.218794,43.336177,0,
Callenelle,callenelle,,,,,,be,3.52618,50.527359,65.958101,300
Cambron-Casteau,cambron-casteau,,,,,,be,3.874809,50.586759,35.427374,300
Cannes,cannes,,,,,,fr,7.019895,43.553742,0,
Capellen,capellen,,,,,,lu,5.990833,49.645,32.486034,300
Carlsbourg,carlsbourg,,,,,,be,5.092784,49.905458,27.5,300
Carnieres,carnieres,,,,,,be,4.263826,50.447957,88.363128,300
Ceroux-Mousty,ceroux-mousty,,,,,,be,4.569046,50.659941,32.77095,300
Chambéry-Challes-les-Eaux,chambery-challes-les-eaux,,,,,,fr,5.919756,45.571498,0,
Chapelle-Dieu,chapelle-dieu,,,,,,be,4.697627,50.557374,5.527933,300
Chapois,chapois,,,,,,be,5.124255,50.262366,63.620112,300
Charleroi-Ouest,charleroi-ouest,,charleroi-west,,,,be,4.436653,50.410948,32.768156,300
Charleroi-Sud,charleroi-sud,,charleroi-zuid,,,,be,4.438567,50.40471,311.377095,300
Chastre,chastre,,,,,,be,4.648888,50.608819,130.452514,300
Chaudfontaine,chaudfontaine,,,,,,be,5.643734,50.586982,74.684358,300
Château-de-Seilles,chateau-de-seilles,,,,,,be,5.081745,50.497209,87.128492,300
Châtelet,chatelet,,,,,,be,4.521861,50.410103,117.918994,300
Chênée,chenee,,,,,,be,5.616073,50.608019,74.684358,300
Ciney,ciney,,,,,,be,5.091409,50.29105,93.041899,240
Clervaux,clervaux,,,,,,lu,6.031393,50.054724,20.061453,300
Colmar,colmar,,,,,,fr,7.366668,48.083335,0,
Comblain-la-Tour,comblain-la-tour,,,,,,be,5.566956,50.456865,30.472067,300
Comines,comines,,komen,comines / komen,komen / comines,,be,2.999286,50.772072,41.497207,300
Coo,coo,,,,,,be,5.880473,50.391127,22.268156,300
Couillet,couillet,,,,,,be,4.46851,50.392718,117.918994,300
Cour-sur-Heure,cour-sur-heure,,,,,,be,4.391491,50.300138,32.899441,300
Courcelles-Motte,courcelles-motte,,,,,,be,4.400534,50.462007,99.594972,300
Courrière,courriere,,,,,,be,4.996051,50.387442,72.427374,300
Court-Saint-Étienne,court-saint-etienne,,,,,,be,4.565819,50.645567,32.77095,300
Couvin,couvin,,,,,,be,4.491702,50.056324,30.963687,300
Croix Wasquehal,croix wasquehal,,,,,,fr,3.15,50.666667,7.988827,300
Croix l'Allumette,croix l'allumette,,,,,,fr,3.13381,50.675708,7.240223,300
Dave-Saint-Martin,dave-saint-martin,,,,,,be,4.884414,50.429098,72.427374,300
De Hoek,de hoek,,,,,,be,4.370717,50.738812,180.567039,300
De Panne,de panne,la panne,,,,,be,2.601963,51.0774,37.48324,300
De Pinte,de pinte,,,,,,be,3.650465,50.997063,179.067039,300
Deinze,deinze,,,,,,be,3.534432,50.978258,149.385475,300
Delta,delta,,,,,,be,4.403869,50.818357,35.885475,300
Den Haag HS,den haag hs,,,,,,nl,4.299999,52.083329,7.972067,300
Denderleeuw,denderleeuw,,,,,,be,4.071825,50.891925,260.488827,240
Dendermonde,dendermonde,termonde,,,,,be,4.101427,51.022781,167.99162,240
Diegem,diegem,,,,,,be,4.442774,50.890478,367.304469,300
Diepenbeek,diepenbeek,,,,,,be,5.419947,50.910452,61.005587,300
Diesdelle/Vivier d'Oie,diesdelle/vivier d'oie,vivier d'oie,diesdelle,,,,be,4.374052,50.796145,124.941341,240
Diest,diest,,,,,,be,5.050031,50.993341,106.189944,300
